film,category,worldwide gross ($m),% budget recovered,critics % score,audience % score,audience vs critics % deviance,budget,domestic gross ($m),international gross ($m),opening weekend ($m),second weekend ($m),1st vs 2nd weekend drop off,% gross from opening weekend,% gross from domestic,% gross from international,% budget opening weekend,year,source
Ant-Man  ,Ant-Man,518,398%,83%,85%,-2%,130,180,338,57,24,-58%,31.8,34.70%,65.30%,43.80%,2015,https://www.the-numbers.com/movie/Ant-Man#tab=summary
Ant-Man & The Wasp,Ant-Man,623,479%,87%,80%,7%,130,216,406,75.8,29,-62%,35,34.70%,65.20%,58.30%,2018,https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp#tab=summary
Avengers: Age of Ultron,Avengers,1395,382%,76%,82%,-6%,365,459,936,191,77,-60%,41.7,32.90%,67.10%,52.30%,2015,https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary
Avengers: End Game,Avengers,2797,699%,94%,90%,4%,400,858,1939,357,147,-59%,41.6,30.70%,69.30%,89.30%,2019,https://www.the-numbers.com/movie/Avengers-Endgame-(2019)#tab=summary
Avengers: Infinity War,Avengers,2048,683%,85%,91%,-6%,300,678,1369,257,114,-56%,38,33.10%,66.80%,85.70%,2018,https://www.the-numbers.com/movie/Avengers-Infinity-War#tab=summary
Black Panther,Black Panther,1336,668%,96%,79%,17%,200,700,636,202,111,-45%,28.9,52.40%,47.60%,101.00%,2018,https://www.the-numbers.com/movie/Black-Panther#tab=summary
Black Panther 2,Black Panther,855,342%,84%,94%,-10%,250,453,401,181,66,-64%,48.6,53.00%,46.90%,72.40%,2022,https://www.the-numbers.com/movie/Black-Panther-Wakanda-Forever-(2022)#tab=box-office
Black Widow,Unique,379,190%,79%,80%,-1%,200,183,196,80.3,25.8,-68%,43.8,48.30%,51.70%,40.20%,2021,https://www.the-numbers.com/movie/Black-Widow-(2021)#tab=summary
Captain America,Captain America,370,264%,79%,75%,4%,140,176,193,65,25,-62%,36.8,47.60%,52.20%,46.40%,2011,https://www.the-numbers.com/movie/Captain-America-The-First-Avenger#tab=summary
Captain America: Civil War,Captain America,1151,460%,90%,89%,1%,250,408,743,179,72.6,-59%,43.9,35.40%,64.60%,71.60%,2016,https://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary
Captain America: Winter Soldier,Captain America,714,420%,90%,92%,-2%,170,259,454,95,41,-57%,36.6,36.30%,63.60%,55.90%,2014,https://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier#tab=summary
Captain Marvel,Unique,1129,645%,79%,45%,34%,175,426,702,153,67.9,-56%,35.9,37.70%,62.20%,87.40%,2019,https://www.the-numbers.com/movie/Captain-Marvel-(2019)#tab=summary
Dr Strange,Dr Strange,676,410%,89%,86%,3%,165,232,443,85,42.9,-50%,36.6,34.30%,65.50%,51.50%,2016,https://www.the-numbers.com/movie/Doctor-Strange-(2016)#tab=summary
Dr Strange: Multiverse of Madness,Dr Strange,952,476%,74%,77%,-3%,200,411,540,187,61.7,-67%,45.6,43.20%,56.70%,93.50%,2022,https://www.the-numbers.com/movie/Doctor-Strange-in-the-Multiverse-of-Madness-(2022)#tab=summary
Eternals,Unique,402,201%,47%,73%,-26%,200,164,237,71,26.8,-62%,43.2,40.80%,59.00%,35.50%,2021,https://www.the-numbers.com/movie/Eternals-(2021)#tab=summary
Guardians of the Galaxy,Guardians,770,453%,92%,92%,0%,170,333,437,94,42.1,-55%,43.3,43.20%,56.80%,55.30%,2014,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy#tab=summary
Guardians of the Galaxy 2,Guardians,869,435%,85%,87%,-2%,200,389,479,146,65,-55%,37.6,44.80%,55.10%,73.00%,2017,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary
Incredible Hulk,Unique,265,193%,67%,69%,-2%,137.5,134,130,55,22.1,-60%,41.1,50.60%,49.10%,40.00%,2008,https://www.the-numbers.com/movie/Guardians-of-the-Galaxy-Vol-2#tab=summary
Iron Man,Iron Man,585,315%,94%,91%,3%,186,318,266,102,51.2,-50%,32.1,54.40%,45.50%,54.80%,2008,https://www.the-numbers.com/movie/Iron-Man#tab=summary
Iron Man 2,Iron Man,621,365%,71%,71%,0%,170,312,308,128,52,-59%,41,50.20%,49.60%,75.30%,2010,https://www.the-numbers.com/movie/Iron-Man-2#tab=summary
Iron Man 3,Iron Man,1215,608%,79%,78%,1%,200,408,806,174,72.5,-58%,42.6,33.60%,66.30%,87.00%,2013,https://www.the-numbers.com/movie/Iron-Man-3#tab=summary
Shang-Chi,Unique,432,288%,91%,93%,-2%,150,224,207,75,34.7,-54%,33.6,51.90%,47.90%,50.00%,2021,https://www.the-numbers.com/movie/Shang-Chi-and-the-Legend-of-the-Ten-Rings-(2021)#tab=summary
Spider-Man: Far from Home,Spider-Man,1132,708%,90%,93%,-3%,160,390,741,93,45.3,-51%,23.7,34.50%,65.50%,58.10%,2019,https://www.the-numbers.com/movie/Spider-Man-Far-From-Home-(2019)#tab=summary
Spider-Man: Homecoming,Spider-Man,878,502%,92%,87%,5%,175,334,544,117,44,-62%,35,38.00%,62.00%,66.90%,2017,https://www.the-numbers.com/movie/Spider-Man-Homecoming#tab=summary
Spider-Man: No Way Home,Spider-Man,1911,956%,93%,96%,-3%,200,814,1097,260,84,-68%,32,42.60%,57.40%,130.00%,2021,https://www.the-numbers.com/movie/Spider-Man-No-Way-Home-(2021)#tab=summary
The Avengers,Avengers,1515,673%,91%,91%,0%,225,623,891,207,103,-50%,33.3,41.10%,58.80%,92.00%,2012,https://www.the-numbers.com/movie/Avengers-The-(2012)#tab=summary
Thor,Thor,449,299%,77%,76%,1%,150,181,268,65,34,-48%,36.3,40.30%,59.70%,43.30%,2011,https://www.the-numbers.com/movie/Thor#tab=summary
Thor: Dark World,Thor,644,429%,66%,75%,-9%,150,206,438,85,36.5,-57%,41.5,32.00%,68.00%,56.70%,2013,https://www.the-numbers.com/movie/Thor-The-Dark-World#tab=box-office
Thor: Love & Thunder,Thor,745,298%,64%,63%,1%,250,343,403,144,46.6,-68%,42,46.00%,54.10%,57.60%,2022,https://www.the-numbers.com/movie/Thor-Love-and-Thunder-(2022)#tab=summary
Thor: Ragnarok,Thor,850,472%,93%,87%,6%,180,315,535,122,57,-53%,39,37.10%,62.90%,67.80%,2017,https://www.the-numbers.com/movie/Thor-Ragnarok#tab=summary
